# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
sai qi 	賽期	c=0 d=0.088692 t=31290
san 	三	c=4 d=0.928644 t=31290
san ban 	三班	c=0 d=0.0164474 t=31290
san bu 	三部	c=1 d=0.341298 t=31290
san ceng 	三層	c=7 d=0.247039 t=31290
san ceng yu 	三層域	c=2 d=1.84789 t=29113
san ceng zhuan fa 	三層轉發	c=2 d=0.0282619 t=31290
san ceng zhuan fa biao zhi 	三層轉發標誌	c=1 d=0.000237581 t=31290
san ci 	三次	c=5 d=0.404797 t=31290
san ci wo shou 	三次握手	c=1 d=0.308819 t=31290
san da 	三大	c=0 d=0.00291588 t=31290
san da fen zhi 	三大分支	c=1 d=1.11742e-12 t=31290
san da shen seng 	三大神僧	c=1 d=0.0293049 t=31290
san dian 	三點	c=2 d=0.00414854 t=31290
san fang 	三方	c=3 d=0.803101 t=31290
san fang ruan jian 	三方軟件	c=1 d=0.946485 t=31290
san fen zhi er 	三分之二	c=1 d=0.802519 t=31290
san ge 	三個	c=3 d=0.865022 t=31290
san ge cha bu duo le ba 	三個差不多了吧	c=1 d=0.139457 t=31290
san ge gou chi bu 	三個夠吃不	c=1 d=0.141564 t=31290
san ge ke yi le 	三個可以了	c=1 d=0.142987 t=31290
san ge she bei 	三個設備	c=1 d=0.0459593 t=31290
san ge wen ti 	三個問題	c=1 d=5.45313e-14 t=31290
san ge xiang mu 	三個項目	c=1 d=1 t=30801
san ge yue 	三個月	c=5 d=1.33837 t=31290
san guo 	三國	c=0 d=2.93099e-05 t=31290
san hao xian 	三號線	c=1 d=0.694197 t=31290
san jiao xing 	三角形	c=3 d=0.0693172 t=31290
san jiao xing de duan dian 	三角形的端點	c=1 d=0.0845849 t=31290
san jiao xing zhong de ren yi liang bian zhi he da yu di san bian 	三角形中的任意兩邊之和大於第三邊	c=1 d=0.0720785 t=31290
san nian 	三年	c=2 d=0.404542 t=31290
san ping 	三瓶	c=0 d=0.0193013 t=31290
san ping jiu 	三瓶酒	c=1 d=0.19398 t=31290
san shi 	三是	c=1 d=0.0939493 t=31290
san shi duo 	三十多	c=1 d=0.0231676 t=31290
san shi liu 	三十六	c=1 d=5.62896e-05 t=31290
san si 	三四	c=0 d=0.0558271 t=31290
san si ci 	三四次	c=1 d=0.687289 t=31290
san si ji 	三四季	c=1 d=0.546074 t=31290
san si kuai qian 	三四塊錢	c=1 d=0.412714 t=31290
san tian 	三天	c=1 d=1 t=31290
san tiao 	三條	c=0 d=0.00746459 t=31290
san tiao bian 	三條邊	c=1 d=0.07502 t=31290
san wan 	三萬	c=1 d=0.00246639 t=31290
san wei 	三位	c=1 d=0.27349 t=31290
san xian 	三鮮	c=1 d=0.137381 t=31290
san zhi 	三指	c=1 d=1.08806 t=31290
san zhi suo fang 	三指縮放	c=1 d=0.985112 t=31290
san zhong 	三種	c=8 d=0.245898 t=31290
sang xin bing kuang 	喪心病狂	c=1 d=1.55054e-13 t=31290
sao 	騷	c=0 d=0.0141245 t=31290
sao cao zuo 	騷操作	c=1 d=0.0049667 t=31290
sao da 	騷大	c=2 d=0.00795245 t=31290
sao guo 	掃過	c=0 d=0.00584257 t=31290
sao guo le 	掃過了	c=1 d=0.0587185 t=31290
sao ma 	掃碼	c=2 d=0.543351 t=31290
sao qi 	騷氣	c=0 d=0.0718184 t=31290
sao sao 	騷騷	c=0 d=0.000540733 t=31290
se 	色	c=1 d=0.467666 t=31290
se qing 	色情	c=2 d=0.69099 t=31290
sen lin 	森林	c=2 d=0.923116 t=31290
seng 	僧	c=0 d=0.00291588 t=31290
sha 	傻	c=1 d=0.109154 t=31290
sha 	啥	c=10 d=1.68214 t=31290
sha 	煞	c=0 d=0.0292293 t=31290
sha bi 	傻逼	c=1 d=0.00941925 t=31290
sha bu xing 	啥不行	c=1 d=0.120032 t=31290
sha cui 	傻翠	c=1 d=0.814647 t=31290
sha dou bu neng chi 	啥都不能吃	c=1 d=0.19205 t=31290
sha dou hui 	啥都會	c=1 d=2.44226e-05 t=31290
sha dou shu 	啥都輸	c=1 d=0.00267181 t=31290
sha dou xing 	啥都行	c=1 d=1 t=30410
sha jiang 	砂漿	c=1 d=0.158365 t=31290
sha jiang mo hui 	砂漿抹灰	c=1 d=0.147342 t=31290
sha shi 	啥事	c=0 d=0.000740944 t=31290
sha tan ku 	沙灘褲	c=2 d=0.412491 t=31290
sha tu zi 	傻兔子	c=2 d=0.141656 t=31290
sha ye 	啥也	c=0 d=0.1 t=28218
sha ye mei jiang 	啥也沒講	c=1 d=1 t=28219
sha yi si 	啥意思	c=0 d=1.22603e-16 t=31290
sha zhi 	砂質	c=0 d=0.00380064 t=31290
sha zi 	啥子	c=0 d=0.00953692 t=31290
shai xuan 	篩選	c=0 d=0.0909373 t=31290
shai xuan xia 	篩選下	c=1 d=0.913931 t=31290
shan 	刪	c=1 d=0.0135686 t=31290
shan bu diao 	刪不掉	c=1 d=0.136014 t=31290
shan chu 	刪除	c=21 d=1.6898 t=31290
shan chu le 	刪除了	c=1 d=0.00663763 t=31290
shan dian 	閃電	c=1 d=0.737123 t=31290
shan diao 	刪掉	c=2 d=0.726933 t=31290
shan le 	刪了	c=5 d=0.058525 t=31290
shan le ba 	刪了吧	c=1 d=0.0480747 t=31290
shan shi 	山石	c=13 d=2.12828 t=31290
shan shi da sha 	山石大廈	c=4 d=0.396307 t=31290
shan shi wang ke 	山石網科	c=10 d=2.01623 t=31290
shan shi wang ke le 	山石網科了	c=2 d=1.21928 t=31290
shan yu 	善於	c=6 d=0.731799 t=31290
shan zi 	扇子	c=1 d=1.12126e-23 t=31290
shang 	上	c=105 d=3.67905 t=31290
shang ba 	傷疤	c=1 d=0.308819 t=31290
shang ban 	上班	c=1 d=0.416862 t=31290
shang bu liao 	上不了	c=1 d=0.00126207 t=31290
shang bu qu 	上不去	c=2 d=0.0126186 t=31290
shang chang 	商場	c=1 d=0.00267181 t=31290
shang che 	上車	c=3 d=1.32401 t=31290
shang chuan 	上傳	c=4 d=0.404542 t=31290
shang chuan dao 	上傳到	c=2 d=0.210136 t=31290
shang chuan le 	上傳了	c=1 d=0.00121866 t=31290
shang chuang 	上牀	c=1 d=0.0026852 t=31290
shang ci 	上次	c=6 d=0.599159 t=31290
shang ci na ge 	上次那個	c=1 d=0.19593 t=31290
shang de 	上的	c=4 d=0.405966 t=31290
shang dian 	上點	c=1 d=0.286505 t=31290
shang dian 	商店	c=8 d=0.734701 t=31290
shang dian li 	商店裏	c=1 d=0.467666 t=31290
shang fang 	上方	c=0 d=7.03108e-05 t=31290
shang fang de 	上方的	c=1 d=0.000706632 t=31290
shang gang 	上崗	c=0 d=2.3939e-06 t=31290
shang ge 	上個	c=1 d=0.000117391 t=31290
shang ge xing qi 	上個星期	c=1 d=0.0300468 t=31290
shang guo 	上過	c=0 d=0.0323033 t=31290
shang hai 	上海	c=4 d=0.831104 t=31290
shang jia 	上架	c=1 d=0.11475 t=31290
shang jia 	商家	c=4 d=0.327898 t=31290
shang jiao 	上交	c=1 d=0.479505 t=31290
shang jin 	賞金	c=0 d=0.000835412 t=31290
shang jin ku 	賞金庫	c=1 d=0.008396 t=31290
shang ke 	上課	c=1 d=0.362406 t=31290
shang ke la 	上課啦	c=1 d=0.0480747 t=31290
shang lai 	上來	c=0 d=0.00095616 t=31290
shang le 	上了	c=2 d=0.480177 t=31290
shang le zhe yi pi 	上了這一批	c=1 d=0.733447 t=31290
shang liang hao 	商量好	c=1 d=0.0255381 t=31290
shang me 	上麼	c=1 d=0.631284 t=31290
shang meng zhu 	上盟主	c=1 d=0.451581 t=31290
shang mian 	上面	c=10 d=0.774916 t=31290
shang mian bu xie de 	上面不寫得	c=1 d=0.00357068 t=31290
shang mian na ge 	上面那個	c=1 d=1.85508e-05 t=31290
shang nian 	上年	c=1 d=6.72742e-14 t=31290
shang qu 	上去	c=0 d=0.0822835 t=31290
shang qu le 	上去了	c=2 d=0.280437 t=31290
shang san ceng 	上三層	c=1 d=0.0492917 t=31290
shang shang ci 	上上次	c=1 d=4.90876e-12 t=31290
shang shen 	上身	c=0 d=0.0213312 t=31290
shang sheng 	上升	c=1 d=0.0761538 t=31290
shang shi 	上市	c=1 d=0.0680451 t=31290
shang shi 	上式	c=1 d=1.43085e-09 t=31290
shang shu 	上述	c=4 d=0.0412427 t=31290
shang shu bu zhou 	上述步驟	c=1 d=6.4137e-11 t=31290
shang tu 	上圖	c=3 d=0.212248 t=31290
shang tu suo shi 	上圖所示	c=1 d=4.03978e-14 t=31290
shang wan de 	上玩的	c=1 d=0.323033 t=31290
shang wang 	上網	c=3 d=0.554327 t=31290
shang wang wen ti 	上網問題	c=1 d=0.174645 t=31290
shang wen 	上文	c=3 d=0.00382808 t=31290
shang wu 	上午	c=2 d=0.374267 t=31290
shang xia xing xin dao 	上下行信道	c=1 d=0.00882647 t=31290
shang xian 	上線	c=7 d=2.72003 t=31290
shang xian 	上限	c=1 d=0.0746459 t=31290
shang xin 	傷心	c=0 d=0.0429557 t=31290
shang xing 	上行	c=2 d=0.0288686 t=31290
shang xing dao pin 	上行導頻	c=1 d=0.000108366 t=31290
shang xing lian lu 	上行鏈路	c=1 d=0.00264522 t=31290
shang xue yuan 	商學院	c=1 d=0.113608 t=31290
shang ye 	商業	c=1 d=6.61015e-13 t=31290
shang yi 	上一	c=0 d=0.0752014 t=31290
shang yi ceng 	上一層	c=1 d=0.298197 t=31290
shang yi ji 	上一級	c=1 d=0.755784 t=31290
shang yi wei da lao 	上一位大佬	c=1 d=9.10147e-11 t=31290
shang yong 	商用	c=2 d=2.47941e-11 t=31290
shang you 	尚有	c=1 d=0.900325 t=31290
shang yuan 	上原	c=0 d=0.000163682 t=31290
shang yuan ya yi 	上原亞衣	c=1 d=0.00164502 t=31290
shang zhou 	上週	c=2 d=0.000178449 t=31290
shao 	少	c=2 d=0.923116 t=31290
shao he jiu 	少喝酒	c=1 d=0.0898153 t=31290
shao kao 	燒烤	c=0 d=0.00270518 t=31290
shao le 	少了	c=1 d=0.0274648 t=31290
shao lin 	少林	c=0 d=0.00277367 t=31290
shao lin di zi 	少林弟子	c=1 d=0.0278757 t=31290
shao nian 	少年	c=6 d=0.18358 t=31290
shao nian de wo men 	少年的我們	c=1 d=0.163654 t=31290
shao nian ge xing 	少年歌行	c=5 d=1.36586 t=31290
shao nian zhi 	少年志	c=1 d=0.0958471 t=31290
shao nian zhong guo shuo 	少年中國說	c=2 d=0.303015 t=31290
shao nv 	少女	c=1 d=0.0137049 t=31290
shao nv se 	少女色	c=1 d=1.41733e-15 t=31290
shao shao 	稍稍	c=1 d=1.54202e-07 t=31290
shao shu 	少數	c=3 d=0.60815 t=31290
shao wei 	稍微	c=7 d=0.133989 t=31290
shao wei kan kan 	稍微看看	c=1 d=0.88692 t=31290
shao xian 	稍顯	c=0 d=0.0113608 t=31290
she 	射	c=4 d=0.0152222 t=31290
she 	舍	c=7 d=0.900148 t=31290
she bei 	設備	c=11 d=0.396113 t=31290
she bei jian 	設備間	c=1 d=0.07502 t=31290
she diao 	射鵰	c=1 d=0.0424257 t=31290
she diao ying xiong zhuan 	射鵰英雄傳	c=1 d=7.50967e-14 t=31290
she ding 	設定	c=4 d=0.0234771 t=31290
she hui 	社會	c=0 d=0.000375375 t=31290
she hui gong cheng xue 	社會工程學	c=1 d=0.00377257 t=31290
she ji 	涉及	c=6 d=0.184044 t=31290
she ji 	設計	c=17 d=0.717719 t=31290
she ji shi 	設計時	c=1 d=0.0335406 t=31290
she jiao 	社交	c=1 d=0.0185924 t=31290
she shi 	攝氏	c=1 d=0.186374 t=31290
she shi 	設施	c=0 d=0.000367942 t=31290
she shi wen du 	攝氏溫度	c=1 d=0.193013 t=31290
she you 	設有	c=1 d=0.384812 t=31290
she zhao 	社招	c=1 d=0.57695 t=31290
she zhi 	設置	c=41 d=2.13725 t=31290
she zhi ban ben hao 	設置版本號	c=1 d=1.70507e-13 t=31290
she zhi duo shao 	設置多少	c=1 d=0.00218749 t=31290
she zhi hao 	設置好	c=2 d=0.782705 t=31290
she zhi jiu ke yi 	設置就可以	c=1 d=5.18542e-10 t=31290
she zhi le 	設置了	c=4 d=0.810019 t=31290
she zhi li mian 	設置裏面	c=1 d=0.38868 t=31290
she zhi wei 	設置爲	c=6 d=0.0113784 t=31290
shen 	神	c=0 d=0.0366045 t=31290
shen bian 	身邊	c=3 d=0.313398 t=31290
shen chen 	深沉	c=0 d=7.50328e-05 t=31290
shen du 	深度	c=1 d=0.085435 t=31290
shen fen 	身份	c=2 d=0.995012 t=31290
shen fen zheng 	身份證	c=4 d=0.523311 t=31290
shen gang 	深港	c=3 d=0.729789 t=31290
shen he 	審覈	c=5 d=0.480452 t=31290
shen ji 	神機	c=11 d=1.51932 t=31290
shen ji gui ze 	神機規則	c=4 d=0.565525 t=31290
shen lan 	深藍	c=3 d=1.68312 t=31290
shen le 	申了	c=2 d=0.460506 t=31290
shen me 	什麼	c=38 d=2.93428 t=31290
shen me cao zuo 	什麼操作	c=1 d=2.68566e-05 t=31290
shen me chu lai 	什麼出來	c=1 d=1 t=29001
shen me cuo 	什麼錯	c=1 d=0.637628 t=31290
shen me de 	什麼的	c=7 d=0.795008 t=31290
shen me dia 	什麼嗲	c=1 d=0.157237 t=31290
shen me dong xi 	什麼東西	c=4 d=0.540641 t=31290
shen me dong xi a 	什麼東西啊	c=1 d=0.00226541 t=31290
shen me gui ze 	什麼規則	c=1 d=0.882497 t=31290
shen me hao de 	什麼好的	c=1 d=0.149569 t=31290
shen me la 	什麼辣	c=1 d=3.16034e-08 t=31290
shen me lian jie 	什麼鏈接	c=1 d=0.000911882 t=31290
shen me ming ling 	什麼命令	c=1 d=0.474734 t=31290
shen me niao xing 	什麼尿性	c=1 d=0.000115067 t=31290
shen me pei zhi wen jian 	什麼配置文件	c=1 d=0.00182715 t=31290
shen me pian zi 	什麼片子	c=1 d=0.244143 t=31290
shen me ping tai 	什麼平臺	c=1 d=0.597501 t=31290
shen me ruan jian 	什麼軟件	c=2 d=0.868508 t=31290
shen me shi 	什麼事	c=2 d=0.0455481 t=31290
shen me shi 	什麼是	c=10 d=1.69622 t=31290
shen me shi hou 	什麼時候	c=6 d=0.952714 t=31290
shen me shi hou hui 	什麼時候回	c=1 d=0.349938 t=31290
shen me tao can 	什麼套餐	c=1 d=0.0280154 t=31290
shen me tiao jian 	什麼條件	c=1 d=0.355226 t=31290
shen me wen ti 	什麼問題	c=2 d=0.549654 t=31290
shen me xi tong 	什麼系統	c=1 d=0.0739031 t=31290
shen me xin wen 	什麼新聞	c=1 d=0.000156102 t=31290
shen me yang 	什麼樣	c=2 d=0.918512 t=31290
shen me yi si 	什麼意思	c=1 d=0.369723 t=31290
shen me ying yong 	什麼應用	c=1 d=2.48601e-08 t=31290
shen me yong 	什麼用	c=1 d=0.25284 t=31290
shen me zhi jie 	什麼直接	c=1 d=0.0695994 t=31290
shen mei 	深美	c=2 d=0.845085 t=31290
shen mei zhong ji 	深美中繼	c=1 d=0.782705 t=31290
shen qi 	神奇	c=1 d=0.00433948 t=31290
shen qing 	申請	c=21 d=1.2751 t=31290
shen qing le 	申請了	c=1 d=0.0578443 t=31290
shen ru 	深入	c=1 d=0.00904991 t=31290
shen ru yan jiu 	深入研究	c=1 d=3.78297e-06 t=31290
shen tan 	神探	c=1 d=0.378892 t=31290
shen tan 	紳探	c=7 d=0.957168 t=31290
shen tan di ren jie 	神探狄仁傑	c=1 d=0.99005 t=31290
shen ti 	身體	c=2 d=0.355047 t=31290
shen xin 	深信	c=0 d=0.00095616 t=31290
shen xin fu 	深信服	c=1 d=0.00960953 t=31290
shen ye 	深夜	c=1 d=0.000973123 t=31290
shen yong 	慎用	c=1 d=0.0015648 t=31290
shen zhi 	甚至	c=3 d=0.955997 t=31290
shen zhi yao 	甚至要	c=1 d=0.346456 t=31290
sheng 	剩	c=1 d=9.40133e-10 t=31290
sheng 	昇	c=2 d=0.62705 t=31290
sheng 	生	c=1 d=0.148205 t=31290
sheng 	省	c=2 d=0.190236 t=31290
sheng chan 	生產	c=0 d=0.1 t=28573
sheng chan liu shui 	生產流水	c=1 d=1 t=28574
sheng cheng 	生成	c=13 d=0.892464 t=31290
sheng cheng qi 	生成器	c=1 d=0.771052 t=31290
sheng dan jie 	聖誕節	c=1 d=0.101774 t=31290
sheng dao 	升到	c=1 d=0.449329 t=31290
sheng dian 	省點	c=0 d=0.000786762 t=31290
sheng hua wei ji 	生化危機	c=1 d=0.245367 t=31290
sheng huan 	生還	c=1 d=1 t=31290
sheng huo 	生活	c=9 d=0.889103 t=31290
sheng huo 	聖火	c=0 d=0.00317456 t=31290
sheng huo da bao zha 	生活大爆炸	c=1 d=0.537944 t=31290
sheng huo ling 	聖火令	c=1 d=0.0319048 t=31290
sheng huo zhong 	生活中	c=1 d=4.97178e-15 t=31290
sheng ji 	升級	c=4 d=0.814712 t=31290
sheng ji dao 	升級到	c=1 d=0.367879 t=31290
sheng ji le 	升級了	c=1 d=0.625002 t=31290
sheng jiang 	升降	c=0 d=0.0606531 t=31290
sheng jiang ji 	升降級	c=1 d=0.609571 t=31290
sheng le 	升了	c=1 d=0.31823 t=31290
sheng lve hao 	省略號	c=2 d=0.88692 t=31290
sheng ming 	生命	c=0 d=0.000377257 t=31290
sheng ming 	聲明	c=8 d=3.48968 t=31290
sheng ming de 	聲明的	c=1 d=0.412714 t=31290
sheng ming ti qian 	聲明提前	c=4 d=1.88978 t=31290
sheng ming zhong 	生命中	c=1 d=0.00379148 t=31290
sheng pi 	生僻	c=0 d=0.013466 t=31290
sheng pi zi 	生僻字	c=1 d=0.135335 t=31290
sheng qu 	省去	c=1 d=0.0196437 t=31290
sheng ri 	生日	c=1 d=0.000800719 t=31290
sheng ri kuai le 	生日快樂	c=2 d=0.0973896 t=31290
sheng shi 	省事	c=1 d=0.0569831 t=31290
sheng tai 	生態	c=0 d=2.52444e-13 t=31290
sheng xia 	剩下	c=2 d=0.19398 t=31290
sheng xiao 	生效	c=3 d=0.965605 t=31290
sheng xin 	省心	c=0 d=0.00320647 t=31290
sheng yi 	生意	c=2 d=1.37806 t=31290
sheng yin 	聲音	c=2 d=1 t=31290
sheng yu 	剩餘	c=1 d=0.00437178 t=31290
sheng yu shi chang 	剩餘時長	c=1 d=0.0439369 t=31290
sheng zhe dian 	省着點	c=1 d=0.0270518 t=31290
shi 	事	c=4 d=0.29034 t=31290
shi 	使	c=2 d=0.0503805 t=31290
shi 	史	c=0 d=0.00359725 t=31290
shi 	始	c=1 d=6.92758e-06 t=31290
shi 	實	c=2 d=0.175308 t=31290
shi 	市	c=2 d=1.0567 t=31290
shi 	師	c=0 d=0.00808629 t=31290
shi 	式	c=2 d=0.221659 t=31290
shi 	是	c=194 d=4.28708 t=31290
shi 	時	c=52 d=3.11319 t=31290
shi 	獅	c=1 d=0.0287246 t=31290
shi 	試	c=7 d=1.09759 t=31290
shi a 	是啊	c=7 d=0.83527 t=31290
shi ba 	是吧	c=7 d=0.856492 t=31290
shi bai 	失敗	c=9 d=1.185 t=31290
shi bian 	十遍	c=1 d=0.00292342 t=31290
shi bie 	識別	c=2 d=0.0010333 t=31290
shi bu 	是不	c=0 d=0.000138785 t=31290
shi bu ke neng 	是不可能	c=0 d=2.2263e-05 t=31290
shi bu ke neng de 	是不可能的	c=1 d=0.000223746 t=31290
shi bu ke yi 	是不可以	c=2 d=0.0426384 t=31290
shi bu shi 	是不是	c=20 d=0.929297 t=31290
shi bu shi dai zi 	是不是帶資	c=1 d=0.67368 t=31290
shi bu shi gan jue zi ji mai zao le 	是不是感覺自己買早了	c=1 d=0.000127806 t=31290
shi bu shi he 	是不是和	c=1 d=0.071719 t=31290
shi bu shi he 	適不適合	c=1 d=8.72499e-14 t=31290
shi bu shi jia shang 	是不是加上	c=1 d=0.546074 t=31290
shi bu xing 	是不行	c=1 d=0.0437178 t=31290
shi bu yong 	是不用	c=1 d=0.489192 t=31290
shi ce 	實測	c=0 d=7.88798e-05 t=31290
shi chang 	市場	c=1 d=0.537944 t=31290
shi chang 	時常	c=2 d=0.00302755 t=31290
shi chang 	時長	c=4 d=0.647265 t=31290
shi chen 	時辰	c=1 d=0.597501 t=31290
shi ci 	詩詞	c=1 d=0.839457 t=31290
shi cong 	是從	c=1 d=1 t=29619
shi cun zai de 	是存在的	c=1 d=0.00506703 t=31290
shi dai 	時代	c=2 d=0.0121238 t=31290
shi dai fa zhan xu qiu 	時代發展需求	c=1 d=0.121846 t=31290
shi dao de 	是導的	c=1 d=3.55347e-05 t=31290
shi de 	使得	c=22 d=0.908444 t=31290
shi de 	是的	c=5 d=0.726149 t=31290
shi de hua 	是的話	c=2 d=0.00199922 t=31290
shi de nie 	是的捏	c=1 d=1.48975e-13 t=31290
shi dei 	是得	c=2 d=0.123687 t=31290
shi di ji zhou 	是第幾周	c=1 d=0.000160856 t=31290
shi dian 	十點	c=1 d=1 t=28925
shi dian 	試點	c=1 d=0.377192 t=31290
shi duan 	時段	c=2 d=0.0179646 t=31290
shi dui 	是對	c=1 d=4.7975e-07 t=31290
shi dui de 	是對的	c=1 d=0.000934966 t=31290
shi duo 	十多	c=0 d=0.070822 t=31290
shi duo ming 	十多名	c=1 d=0.71177 t=31290
shi duo shao 	是多少	c=2 d=0.101884 t=31290
shi er 	十二	c=1 d=0.594521 t=31290
shi er shi chen 	十二時辰	c=0 d=0.099005 t=31290
shi er tian 	十二天	c=1 d=1 t=28973
shi fen 	十分	c=3 d=0.0898897 t=31290
shi fen 	時分	c=0 d=8.1548e-14 t=31290
shi fen bi yao 	十分必要	c=1 d=0.00384878 t=31290
shi fen chang yong de 	十分常用的	c=1 d=0.0808629 t=31290
shi fen duo zhi 	時分多址	c=1 d=8.19567e-13 t=31290
shi fen hao 	十分好	c=1 d=8.57437e-15 t=31290
shi fen jie jin 	十分接近	c=1 d=0.00201931 t=31290
shi fen xiang xi 	十分詳細	c=1 d=5.10995e-14 t=31290
shi fen zhong 	十分鐘	c=1 d=0.759572 t=31290
shi fen zhong yao 	十分重要	c=0 d=0.000331267 t=31290
shi fen zhong yao de 	十分重要的	c=1 d=0.00332928 t=31290
shi fou 	是否	c=21 d=1.31482 t=31290
shi fou hao yong 	是否好用	c=1 d=4.77683e-15 t=31290
shi fou shi yong le 	是否使用了	c=1 d=4.31857e-05 t=31290
shi fou wei 	是否爲	c=1 d=0.218712 t=31290
shi fou xu yao xiu gai cheng 	是否需要修改成	c=1 d=0.360595 t=31290
shi fou zheng que 	是否正確	c=1 d=0.895834 t=31290
shi fu 	師父	c=3 d=1.15062 t=28977
shi gang cai 	是剛纔	c=1 d=0.802519 t=31290
shi ge 	是個	c=2 d=0.004616 t=31290
shi ge nv de 	是個女的	c=1 d=0.00364281 t=31290
shi ge ren 	十個人	c=1 d=0.0655462 t=31290
shi guang 	時光	c=0 d=0.0479505 t=31290
shi hai ke yi 	是還可以	c=2 d=0.765795 t=31290
shi hao shi 	是好事	c=1 d=0.384812 t=31290
shi he 	適合	c=0 d=2.17244e-11 t=31290
shi hen jiu yi qian 	是很久以前	c=1 d=0.0169075 t=31290
shi hong shi 	史紅石	c=1 d=0.0361528 t=31290
shi hou 	時候	c=17 d=1.31642 t=31290
shi hui 	是會	c=1 d=0.0109436 t=31290
shi ji 	世紀	c=2 d=1.37472e-12 t=31290
shi ji 	實際	c=12 d=0.5994 t=31290
shi ji 	時機	c=1 d=0.113042 t=31290
shi ji cao zuo 	實際操作	c=1 d=0.774916 t=31290
shi ji de 	實際的	c=0 d=0.0071719 t=31290
shi ji ge 	十幾個	c=1 d=7.77187e-06 t=31290
shi ji shang 	實際上	c=1 d=1 t=30351
shi ji shi yong 	實際使用	c=2 d=0.00152985 t=31290
shi ji tian 	十幾天	c=1 d=0.00082099 t=31290
shi ji tong xin xi tong 	時機通信系統	c=1 d=2.81846e-14 t=31290
shi ji ying yong 	實際應用	c=0 d=1.20966e-05 t=31290
shi ji ying yong zhong de yi yi 	實際應用中的意義	c=1 d=0.000121572 t=31290
shi ji zhong 	實際中	c=1 d=9.49905e-14 t=31290
shi jian 	事件	c=1 d=0.00416933 t=31290
shi jian 	實踐	c=2 d=0.112699 t=31290
shi jian 	時間	c=17 d=1.88436 t=31290
shi jian chuo 	時間戳	c=3 d=0.055635 t=31290
shi jian dao le 	時間到了	c=1 d=0.718924 t=31290
shi jian fu za du 	時間複雜度	c=1 d=0.683861 t=31290
shi jian guan li 	時間管理	c=2 d=1.68316 t=31290
shi jian jian ge 	時間間隔	c=2 d=0.0722662 t=31290
shi jian le 	實踐了	c=1 d=1 t=30484
shi jian zhou 	時間軸	c=2 d=0.115325 t=31290
shi jiang 	是將	c=1 d=0.0448245 t=31290
shi jiang 	試講	c=1 d=0.0611149 t=31290
shi jie 	世界	c=2 d=0.00590691 t=31290
shi jie kou 	使接口	c=1 d=0.00282287 t=31290
shi jue de 	是覺得	c=1 d=5.62896e-05 t=31290
shi ke 	是可	c=0 d=7.30037e-06 t=31290
shi ke 	時刻	c=1 d=0.0875977 t=31290
shi ke kao 	是可靠	c=1 d=5.88805e-05 t=31290
shi ke neng 	使可能	c=1 d=0.423162 t=31290
shi ke xuan de 	是可選的	c=1 d=7.33697e-05 t=31290
shi ke yi 	使可以	c=1 d=0.145148 t=31290
shi ke yi 	是可以	c=2 d=0.329559 t=31290
shi kong 	時空	c=1 d=0.00337959 t=31290
shi kong de 	是空的	c=1 d=0.000437252 t=31290
shi le 	試了	c=3 d=0.31298 t=31290
shi le xia 	試了下	c=7 d=0.783156 t=31290
shi li 	實例	c=0 d=0.000995182 t=31290
shi li 	示例	c=13 d=1.00236 t=31290
shi liang 	矢量	c=1 d=0.00149208 t=31290
shi ling shi bu ling 	時靈時不靈	c=1 d=0.000342239 t=31290
shi ling yi wei 	是另一位	c=1 d=0.449329 t=31290
shi luo 	失落	c=0 d=0.0640824 t=31290
shi ma 	是嗎	c=3 d=0.0505395 t=31290
shi mei 	是美	c=0 d=0.0380983 t=31290
shi mei qu de 	是美區的	c=1 d=0.382893 t=31290
shi mei you 	是沒有	c=0 d=0.0631284 t=31290
shi mei you ji ge 	是沒有及格	c=1 d=0.634448 t=31290
shi mian fei ruan jian 	是免費軟件	c=1 d=0.228779 t=31290
shi ming 	實名	c=1 d=0.0672055 t=31290
shi ming xian mu 	實名羨慕	c=1 d=0.477114 t=31290
shi na ge 	是哪個	c=1 d=0.000106752 t=31290
shi na jia 	是那家	c=1 d=1 t=29586
shi na li 	是哪裏	c=1 d=0.154896 t=31290
shi na wei 	是哪位	c=2 d=0.77978 t=31290
shi nei zhi de 	是內置的	c=1 d=3.31324e-05 t=31290
shi ni 	是你	c=1 d=0.619867 t=31290
shi ni bei 	是你被	c=1 d=0.927743 t=31290
shi ni de 	是你的	c=0 d=0.000410726 t=31290
shi nian 	十年	c=1 d=0.0513843 t=31290
shi nian ba nian 	十年八年	c=1 d=0.423162 t=31290
shi pei 	適配	c=1 d=0.937067 t=31290
shi pin 	視頻	c=8 d=1.40432 t=31290
